Match_Id,Day,Team_Id,Toss_Won,Bat_First,Win_Percenetage,Opponent_Win_Percentage,Win_Percenetage_Against,Toss_Decision_Win_Percentage,Bat_Decision_Win_Percentage,Team1_Score,Team2_Score,Match_Won
335987,1,2,1,0,50.35971223,51.51515152,50,54.09836066,56.4516129,117.8711624,661.7802851,0
335987,1,1,0,1,51.51515152,50.35971223,50,44.92753623,43.5483871,661.7802851,117.8711624,1
335988,1,4,0,0,47.01492537,60.30534351,41.17647059,59.375,59.42028986,470.5147573,624.8821356,0
335988,1,3,1,1,60.30534351,47.01492537,58.82352941,63.63636364,58.44155844,624.8821356,470.5147573,1
335989,0,6,0,0,42.10526316,53.38983051,37.5,56.25,68.42105263,416.621145,53.22570444,0
335989,0,5,1,1,53.38983051,42.10526316,62.5,53.96825397,46.2962963,53.22570444,416.621145,1
335990,1,7,1,1,57.14285714,50.35971223,57.89473684,55.40540541,56.57894737,275.8263481,440.9469858,0
335990,1,2,0,0,50.35971223,57.14285714,42.10526316,45.90163934,56.4516129,440.9469858,275.8263481,1
335991,0,1,0,0,51.51515152,38.66666667,77.77777778,44.92753623,56.4516129,355.5954246,148.3587867,0
335991,0,8,1,1,38.66666667,51.51515152,22.22222222,44.18604651,41.86046512,148.3587867,355.5954246,1
335992,1,5,0,0,53.38983051,47.01492537,60,46.03174603,53.7037037,382.0040959,306.6785092,0
335992,1,4,1,1,47.01492537,53.38983051,40,40.625,40.57971014,306.6785092,382.0040959,1
335993,1,8,1,1,38.66666667,42.10526316,36.36363636,44.18604651,41.86046512,212.5286101,487.5696894,0
335993,1,6,0,0,42.10526316,38.66666667,63.63636364,56.25,68.42105263,487.5696894,212.5286101,1
335994,1,3,0,1,60.30534351,57.14285714,45.45454545,36.36363636,58.44155844,509.6985824,273.1897138,0
335994,1,7,1,0,57.14285714,60.30534351,54.54545455,55.40540541,43.42105263,273.1897138,509.6985824,1
335995,1,8,0,1,38.66666667,53.38983051,22.22222222,55.81395349,41.86046512,612.2975706,441.3976974,0
335995,1,5,1,0,53.38983051,38.66666667,77.77777778,53.96825397,53.7037037,441.3976974,612.2975706,1
335996,1,4,0,1,47.01492537,57.14285714,50,59.375,40.57971014,447.3164388,401.0107606,0
335996,1,7,1,0,57.14285714,47.01492537,50,55.40540541,43.42105263,401.0107606,447.3164388,1
335997,1,2,0,1,50.35971223,53.38983051,50,45.90163934,43.5483871,171.6623418,431.917003,0
335997,1,5,1,0,53.38983051,50.35971223,50,53.96825397,53.7037037,431.917003,171.6623418,1
335998,0,3,0,0,60.30534351,51.51515152,62.5,36.36363636,41.55844156,464.8479383,119.9606883,0
335998,0,1,1,1,51.51515152,60.30534351,37.5,55.07246377,43.5483871,119.9606883,464.8479383,1
335999,1,7,0,1,57.14285714,38.66666667,60,44.59459459,56.57894737,67.57651651,566.8365414,0
335999,1,8,1,0,38.66666667,57.14285714,40,44.18604651,58.13953488,566.8365414,67.57651651,1
336000,0,4,0,0,47.01492537,42.10526316,55.55555556,59.375,59.42028986,401.7082755,262.8936596,0
336000,0,6,1,1,42.10526316,47.01492537,44.44444444,43.75,31.57894737,262.8936596,401.7082755,1
336001,1,2,0,0,50.35971223,60.30534351,36.84210526,45.90163934,56.4516129,350.9954645,556.4363584,0
336001,1,3,1,1,60.30534351,50.35971223,63.15789474,63.63636364,58.44155844,556.4363584,350.9954645,1
336002,1,1,1,1,51.51515152,57.14285714,27.77777778,55.07246377,43.5483871,200.6458648,347.7602385,0
336002,1,7,0,0,57.14285714,51.51515152,72.22222222,44.59459459,43.42105263,347.7602385,200.6458648,1
336003,1,6,0,1,42.10526316,50.35971223,35.29411765,56.25,31.57894737,477.6944809,381.1167066,0
336003,1,2,1,0,50.35971223,42.10526316,64.70588235,54.09836066,56.4516129,381.1167066,477.6944809,1
336004,1,8,0,1,38.66666667,47.01492537,30,55.81395349,41.86046512,327.9413639,513.7563226,0
336004,1,4,1,0,47.01492537,38.66666667,70,40.625,59.42028986,513.7563226,327.9413639,1
336005,0,5,1,1,53.38983051,51.51515152,60,53.96825397,46.2962963,502.9783246,334.332474,0
336005,0,1,0,0,51.51515152,53.38983051,40,44.92753623,56.4516129,334.332474,502.9783246,1
336006,1,3,1,1,60.30534351,42.10526316,68.75,63.63636364,58.44155844,272.4145352,430.1384605,0
336006,1,6,0,0,42.10526316,60.30534351,31.25,56.25,68.42105263,430.1384605,272.4145352,1
336007,1,8,1,1,38.66666667,50.35971223,54.54545455,44.18604651,41.86046512,266.6794651,443.3996163,0
336007,1,2,0,0,50.35971223,38.66666667,45.45454545,45.90163934,56.4516129,443.3996163,266.6794651,1
336008,1,4,1,1,47.01492537,51.51515152,31.57894737,40.625,40.57971014,333.4374287,389.4580294,0
336008,1,1,0,0,51.51515152,47.01492537,68.42105263,44.92753623,56.4516129,389.4580294,333.4374287,1
