Match_Id,Team_Id,Opponent_Id,Score
335987,1,2,779.6514475
335988,3,4,1095.396893
335989,5,6,469.8468494
335990,2,7,716.7733339
335991,1,8,503.9542113
335992,4,5,688.6826051
335993,6,8,700.0982995
335994,3,7,782.8882962
335995,5,8,1053.695268
335996,4,7,848.3271994
335997,2,5,603.5793448
335998,1,3,584.8086266
335999,7,8,634.4130579
336000,4,6,664.6019351
336001,2,3,907.4318229
336002,1,7,548.4061033
336003,2,6,858.8111876
336004,4,8,841.6976865
336005,1,5,837.3107986
336006,3,6,702.5529957
336007,2,8,710.0790814
336008,1,4,722.8954581
336009,6,7,715.1673693
336010,3,5,494.0896463
336011,2,4,593.6387546
336012,3,8,645.1062071
336013,5,7,526.7696543
336014,3,6,802.3314104
336015,1,2,595.5889219
336016,5,8,663.7989246
336017,2,7,456.7352245
336018,3,4,927.0192053
336019,1,8,830.0765428
336020,5,6,745.291546
336021,2,4,543.1112836
336022,1,6,598.4915487
336023,3,7,697.2561386
336024,4,5,996.8097992
336025,6,8,951.1109346
336026,1,7,499.8915172
336027,4,6,573.4199811
336028,2,5,711.1947804
336029,7,8,660.2111067
336030,1,3,382.5892625
336031,2,6,778.2403341
336032,1,5,645.0619765
336033,4,7,836.8958599
336034,2,3,662.0065519
336036,4,8,750.9617368
336037,6,7,886.1379388
336038,3,5,952.9805316
336039,2,8,692.0718944
336040,1,4,832.6252834
336041,5,7,643.2834014
336042,3,8,609.5353669
336043,5,6,901.4776602
336044,3,4,505.7953592
336045,3,5,705.8995892
392186,3,7,721.3524254
392187,2,5,591.3240844
392188,4,6,461.2934487
392189,1,8,587.2299058
392190,2,3,690.2919148
392191,1,4,406.8296121
392193,2,8,820.9354033
392194,3,6,1061.736384
392195,1,5,909.3082732
392196,2,4,764.8645998
392197,7,8,729.9851128
392199,2,6,622.7384236
392200,4,5,573.8522606
392201,3,8,527.4706603
392202,1,7,609.797361
392203,5,6,692.4468583
392204,1,2,512.9476509
392205,4,7,546.2573539
392206,6,8,671.4837058
392207,3,5,745.9136316
392208,1,7,561.5931705
392209,2,4,720.3524051
392210,5,8,512.7963049
392211,3,6,912.8347419
392212,1,4,573.9361946
392213,2,7,485.6203878
392214,3,8,677.8608976
392215,4,5,722.0654945
392216,1,6,482.950712
392217,7,8,489.2792195
392218,2,5,546.3961064
392219,3,4,824.7772564
392220,6,7,560.3081407
392221,4,8,636.2992822
392222,3,5,474.3752037
392223,2,7,571.867483
392224,1,6,450.2552415
392225,5,8,601.5238331
392226,1,2,784.9937801
392227,4,7,361.61802
392228,6,8,970.8945359
392229,2,3,768.4371041
392230,5,7,759.495896
